accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5565,0.57526,2.947439,0.949343,1,0.742323,1.0,0.57526,0.770706,0.0
0.58525,0.621983,2.935719,0.946622,2,0.704662,1.0,0.621983,0.698931,0.0
0.59325,0.649858,2.85638,0.937607,3,0.674841,1.0,0.649858,0.667079,0.0
0.62225,0.682266,2.698279,0.907725,4,0.647516,1.0,0.682266,0.633077,0.0
0.64825,0.715385,2.386959,0.818437,5,0.615701,1.0,0.715385,0.599237,0.0
0.68475,0.755028,2.056357,0.595563,6,0.580495,1.0,0.755028,0.571617,0.0
0.71575,0.791975,1.865659,0.305943,7,0.543285,1.0,0.791975,0.539836,0.0
0.74275,0.822671,1.883912,0.182,8,0.520606,1.0,0.822671,0.510133,0.0
0.77325,0.848851,2.054678,0.157711,9,0.481447,1.0,0.848851,0.48464,0.0
0.785,0.86385,2.374129,0.114353,10,0.470616,1.0,0.86385,0.461686,0.0
