variant,seeds,total_parameters,support_mrr_mean,support_mrr_std,recall_at_1_mean,recall_at_1_std,evidence_f1_mean,evidence_f1_std,unsupported_at_gold_count_mean,unsupported_at_gold_count_std,auprc_mean,auprc_std
base,5,124652545,0.9082784810126581,0.00871904966073804,0.8313924050632912,0.01607146354238369,0.7718987341772152,0.007563224934830246,0.22810126582278473,0.00756322493483021,0.8042723204836711,0.02018008979230702
open_path_no_gate,5,129965570,0.9110849909584087,0.008379164637849858,0.838987341772152,0.014499059304583648,0.7729113924050633,0.011690885963563383,0.22708860759493663,0.011690885963563354,0.8124786036426126,0.01188330904292567
qiu_g2,5,131739649,0.9094261603375529,0.005815794128052094,0.8344303797468354,0.011955158433536804,0.7746835443037975,0.0023681375865657983,0.22531645569620248,0.0023681375865658096,0.8125552939220206,0.006868783124556278
qiu_g1,5,131739649,0.9089620253164558,0.004062986611790343,0.8349367088607595,0.008281228979137247,0.7703797468354432,0.014476940208096997,0.2296202531645569,0.014476940208097012,0.8048215793131988,0.014850094504893187
full_warrant,5,129965570,0.912236286919831,0.00698054052491968,0.839493670886076,0.014050062709378827,0.7769620253164558,0.009013156009578688,0.22303797468354425,0.009013156009578647,0.8138380645223405,0.009834787092945425
