accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_attention_prior_rmse,stpp_false_suppression_index,stpp_nonuseful_gate_mean,stpp_nonuseful_mass_retention,stpp_prior_rmse_delta,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,stpp_useful_gate_mean,stpp_useful_mass_retention,stpp_warrant_prior_rmse,train_loss,warrant_logit_mean
0.0,1,13.087117,0.163487,13.087117,1.031285,0.02422,0.02422,0.021623,-0.293131,0.656578,0.656578,-0.0,0.052961,0.023247,0.024678,0.016022,0.025192,0.949709,0.949709,0.021623,13.048465,0.496553
0.0,2,13.115203,0.163482,13.115203,0.73451,0.024638,0.024638,0.021728,-0.29312,0.656565,0.656574,-1e-06,0.052961,0.023862,0.025165,0.015216,0.025414,0.949686,0.949693,0.021727,12.656893,0.496454
0.001139,3,13.35106,0.163339,13.35106,0.490236,0.025929,0.025929,0.021577,-0.292988,0.656147,0.656177,-1e-06,0.052961,0.024653,0.026373,0.017992,0.027205,0.949136,0.949165,0.021576,12.218635,0.49352
0.001708,4,13.482515,0.162962,13.482515,0.483526,0.025104,0.025104,0.02154,-0.292388,0.654739,0.654781,-1e-06,0.052961,0.024196,0.025602,0.016192,0.026012,0.947131,0.947169,0.02154,11.815798,0.485929
0.002278,5,14.025957,0.162577,14.025957,0.482873,0.02638,0.02638,0.021577,-0.291851,0.653423,0.653534,-0.0,0.052961,0.026257,0.026845,0.018066,0.026503,0.945275,0.945386,0.021576,11.363125,0.478667
0.001708,6,14.709029,0.162214,14.709029,0.465528,0.028528,0.028528,0.021626,-0.291222,0.651987,0.652301,1e-06,0.052961,0.027123,0.029095,0.018385,0.029933,0.943192,0.943523,0.021627,10.808287,0.472127
0.000569,7,15.69978,0.161563,15.69978,0.46279,0.03644,0.03644,0.021737,-0.290157,0.649468,0.650287,1e-06,0.052961,0.040219,0.036942,0.027455,0.032661,0.939572,0.940445,0.021739,10.17159,0.460876
0.0,8,16.472631,0.160875,16.472631,0.453883,0.037109,0.037109,0.021964,-0.288917,0.646639,0.648027,-1e-06,0.052961,0.034871,0.037541,0.029375,0.039346,0.93549,0.936944,0.021964,9.440938,0.449942
0.0,9,17.812563,0.159029,17.812563,0.447674,0.041501,0.041501,0.022097,-0.285919,0.639145,0.641168,-4e-06,0.052961,0.04118,0.042039,0.031871,0.041822,0.924964,0.927088,0.022093,8.579233,0.422751
0.0,10,19.611507,0.155329,19.611507,0.435912,0.043227,0.043227,0.022879,-0.279857,0.624157,0.628011,-1.1e-05,0.052961,0.047779,0.043486,0.038584,0.038674,0.903735,0.907867,0.022868,7.616779,0.378296
