accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.090216,1.0,13.090216,1.092992,0.024237,0.024237,0.052961,0.035829,0.024634,0.017139,0.012645,13.015138,0.0
0.0,2,13.118019,1.0,13.118019,0.992036,0.024492,0.024492,0.052961,0.03636,0.025014,0.01515,0.012623,12.635082,0.0
0.0,3,13.364449,1.0,13.364449,0.703636,0.023595,0.023595,0.052961,0.035369,0.024016,0.016075,0.011822,12.222711,0.0
0.000569,4,13.476227,1.0,13.476227,0.741653,0.024447,0.024447,0.052961,0.036175,0.024935,0.015718,0.012719,11.827824,0.0
0.002278,5,14.071009,1.0,14.071009,0.692781,0.027346,0.027346,0.052961,0.038773,0.027873,0.017922,0.015919,11.367831,0.0
0.001708,6,14.794418,1.0,14.794418,0.724335,0.025494,0.025494,0.052961,0.03737,0.025952,0.017307,0.013619,10.820867,0.0
0.0,7,15.710923,1.0,15.710923,0.743145,0.031247,0.031247,0.052961,0.042081,0.031774,0.021825,0.020414,10.182541,0.0
0.0,8,16.512592,1.0,16.512592,0.688871,0.042499,0.042499,0.052961,0.053706,0.042795,0.03721,0.031291,9.436412,0.0
0.0,9,17.859922,1.0,17.859922,0.688353,0.048725,0.048725,0.052961,0.058237,0.049574,0.033546,0.039214,8.600436,0.0
0.0,10,19.643955,1.0,19.643955,0.674299,0.047195,0.047195,0.052961,0.057895,0.047431,0.042992,0.036496,7.639913,0.0
