variant,display_name,seeds,auc_mean,auc_std,delta_auc_mean,delta_auc_std,accuracy_mean,accuracy_std,delta_accuracy_mean,delta_accuracy_std,eval_loss_mean,eval_loss_std,edge_warrant_gate_mean,edge_warrant_gate_std,edge_warrant_attention_entropy_mean,edge_warrant_attention_entropy_std
base,Base,3,0.7860486666666666,0.001396341768097422,0.0,0.0,0.7157463333333334,0.004746665496254538,0.0,0.0,0.6097673333333333,0.0028048225136955035,nan,nan,nan,nan
generic_qk_warrant,Generic q-k Warrant,3,0.790326,0.000297026934805573,0.004277333333333355,0.001294905530659834,0.718518,0.0010412151554794174,0.002771666666666691,0.005308805170029602,0.5968656666666666,0.003946720959649064,nan,nan,nan,nan
param_control,Param control,3,0.807171,0.005839640656752775,0.021122333333333316,0.004699735134380787,0.731436,0.005597054850544188,0.01568966666666664,0.0038068236540892406,0.582608,0.010763272875849644,nan,nan,nan,nan
handcrafted_only_control,Hand-crafted-only control,3,0.819739,0.005248621819106419,0.03369033333333334,0.003992305766513028,0.7429053333333333,0.008066155548545624,0.02715899999999997,0.006115875407494795,0.537947,0.008069273387362684,0.06338833333333334,1.6258331197679294e-05,0.0,0.0
edge_conditioned_warrant,Edge-conditioned Warrant,3,0.8979676666666666,0.0028992863489716134,0.11191899999999999,0.0028285595273920086,0.832901,0.005998082777021296,0.11715466666666667,0.005014576785067,0.39154733333333336,0.007345229358796987,0.999997,1.0000000000287557e-06,2.5080603333333333,0.18669354729163323
shuffled_edge_query,Shuffled edge query,3,0.637646,0.0011394897981114197,-0.14840266666666665,0.0015382809669671103,0.584579,0.011633084543662544,-0.13116733333333333,0.01479333259726605,0.866045,0.005942514703389455,0.9999966666666666,1.5275252316958716e-06,2.465633,0.22813414179162228
