epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,11.664786,0.938726,11.664786,0.284437,3.360606,3.360606,3.671444,2.862657
2,11.546224,0.938897,11.546224,0.59408,3.313005,3.313005,3.532473,2.866319
3,11.13518,0.939141,11.13518,0.415402,3.213346,3.213346,3.507949,2.871642
4,10.921596,0.939276,10.921596,0.244947,3.153471,3.153471,3.474945,2.875325
5,11.133466,0.93918,11.133466,0.444105,3.190284,3.190284,3.462937,2.874353
6,11.164964,0.940054,11.164964,0.305191,3.186283,3.186283,3.447066,2.894529
7,10.995251,0.941066,10.995251,0.304057,3.131818,3.131818,3.433227,2.919016
8,10.832101,0.941982,10.832101,0.338226,3.077564,3.077564,3.41945,2.942227
9,10.891324,0.942729,10.891324,0.261724,3.08209,3.08209,3.406858,2.959797
10,10.906652,0.94338,10.906652,0.267148,3.078228,3.078228,3.393231,2.974761
