accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.575984,0.606094,3.462086,0.938615,1,0.703383,1.0,0.606094,0.74303,0.0
0.625267,0.674451,2.606064,0.583133,2,0.646126,1.0,0.674451,0.662724,0.0
0.738251,0.855759,2.458411,0.119045,3,0.515471,1.0,0.855759,0.595601,0.0
0.826137,0.889238,2.345014,0.111037,4,0.411631,1.0,0.889238,0.51223,0.0
0.836741,0.890351,2.760208,0.111091,5,0.395827,1.0,0.890351,0.478984,0.0
0.832469,0.893617,2.80213,0.110951,6,0.398363,1.0,0.893617,0.469792,0.0
0.839182,0.897571,2.694287,0.110633,7,0.387101,1.0,0.897571,0.454286,0.0
0.837656,0.89571,2.902832,0.115775,8,0.387864,1.0,0.89571,0.446644,0.0
0.836588,0.897155,2.837166,0.111455,9,0.390062,1.0,0.897155,0.435846,0.0
0.834223,0.897751,2.794835,0.114614,10,0.392688,1.0,0.897751,0.421995,0.0
