accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_attention_prior_rmse,stpp_false_suppression_index,stpp_nonuseful_gate_mean,stpp_nonuseful_mass_retention,stpp_prior_rmse_delta,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,stpp_useful_gate_mean,stpp_useful_mass_retention,stpp_warrant_prior_rmse,train_loss,warrant_logit_mean
0.0,1,13.099423,0.163491,13.099423,1.017178,0.024449,0.024449,0.022134,-0.293135,0.656594,0.656593,0.0,0.052961,0.023115,0.024988,0.014795,0.025782,0.949729,0.949728,0.022134,13.050257,0.496649
0.0,2,13.106366,0.16345,13.106366,0.700125,0.025299,0.025299,0.021685,-0.29304,0.656413,0.656418,-0.0,0.052961,0.02367,0.025807,0.016203,0.026927,0.949455,0.949458,0.021685,12.630575,0.495788
0.0,3,13.333539,0.163241,13.333539,0.493248,0.027539,0.027539,0.02138,-0.292664,0.655582,0.655605,-1e-06,0.052961,0.02592,0.028041,0.018566,0.029159,0.94825,0.94827,0.021379,12.180731,0.491497
0.000569,4,13.469507,0.162803,13.469507,0.472841,0.032917,0.032917,0.021458,-0.291828,0.653829,0.653854,-1e-06,0.052961,0.035408,0.033333,0.02547,0.030425,0.945663,0.945682,0.021457,11.763785,0.482839
0.000569,5,14.042417,0.162462,14.042417,0.454128,0.03082,0.03082,0.021596,-0.291094,0.652404,0.652454,-0.0,0.052961,0.031098,0.031333,0.021648,0.030542,0.943511,0.943549,0.021596,11.306672,0.47645
0.001139,6,14.748359,0.16215,14.748359,0.464022,0.034734,0.034734,0.021351,-0.290509,0.651168,0.651281,1e-06,0.052961,0.033022,0.035313,0.024373,0.036446,0.941717,0.94179,0.021351,10.740838,0.470745
0.000569,7,15.649973,0.162039,15.649973,0.450634,0.037574,0.037574,0.021148,-0.28996,0.650172,0.650456,0.0,0.052961,0.031589,0.038211,0.026175,0.043559,0.940167,0.940417,0.021148,10.123256,0.469055
0.000569,8,16.848547,0.161177,16.848547,0.433632,0.039388,0.039388,0.020745,-0.288218,0.646367,0.646883,2e-06,0.052961,0.03821,0.039792,0.032154,0.040565,0.934627,0.935101,0.020747,9.326335,0.454311
0.0,9,17.792742,0.161546,17.792742,0.445779,0.048872,0.048872,0.020752,-0.288203,0.646643,0.647582,-1e-06,0.052961,0.058141,0.048888,0.048588,0.039604,0.934925,0.935785,0.020751,8.472009,0.461579
0.0,10,19.832777,0.159907,19.832777,0.440196,0.053997,0.053997,0.02067,-0.284378,0.63874,0.640499,-3e-06,0.052961,0.058768,0.054392,0.046941,0.049226,0.923201,0.924877,0.020667,7.510151,0.437276
