accuracy,attention_parameter_grad_norm,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,permission_grad_norm,primary_metric,train_loss,warrant_logit_mean
0.652579,0.019979,0.714639,0.0,0.0,2.530728,0.682959,1,0.618999,1.0,0.00046,0.714639,0.692974,0.0
0.797948,0.016553,0.87261,0.0,0.0,1.869317,0.2635,2,0.443961,1.0,0.002343,0.87261,0.512526,0.0
0.823161,0.009612,0.88321,0.0,0.0,2.150539,0.275479,3,0.41001,1.0,0.000809,0.88321,0.457247,0.0
0.821445,0.008913,0.889087,0.0,0.0,2.351683,0.481263,4,0.409022,1.0,0.000794,0.889087,0.445374,0.0
0.825374,0.011376,0.891853,0.0,0.0,2.250645,0.420369,5,0.402924,1.0,0.000844,0.891853,0.435598,0.0
0.827052,0.009221,0.894751,0.0,0.0,2.296393,0.272763,6,0.393628,1.0,0.000845,0.894751,0.426408,0.0
0.826633,0.010749,0.894959,0.0,0.0,2.262767,0.400387,7,0.395261,1.0,0.001092,0.894959,0.413749,0.0
0.828502,0.010759,0.898979,0.0,0.0,2.077231,0.212438,8,0.390923,1.0,0.001118,0.898979,0.399117,0.0
0.827624,0.012097,0.899367,0.0,0.0,2.169231,0.283563,9,0.390104,1.0,0.001242,0.899367,0.390721,0.0
0.825259,0.012468,0.898371,0.0,0.0,2.244004,0.432248,10,0.403761,1.0,0.001272,0.898371,0.378482,0.0
0.824496,0.01219,0.896639,0.0,0.0,2.317807,0.374201,11,0.403536,1.0,0.001282,0.896639,0.365848,0.0
0.82812,0.013006,0.899419,0.0,0.0,2.272312,0.30574,12,0.397218,1.0,0.001387,0.899419,0.352042,0.0
0.828464,0.013862,0.901365,0.0,0.0,2.250502,0.368234,13,0.40096,1.0,0.001618,0.901365,0.343838,0.0
0.829799,0.014131,0.902402,0.0,0.0,2.14866,0.259169,14,0.410538,1.0,0.001595,0.902402,0.332414,0.0
0.831248,0.014267,0.901297,0.0,0.0,2.146034,0.301313,15,0.42878,1.0,0.001511,0.901297,0.319055,0.0
0.832659,0.015388,0.903633,0.0,0.0,2.196128,0.380607,16,0.431243,1.0,0.001605,0.903633,0.313288,0.0
0.831668,0.014859,0.90454,0.0,0.0,2.237101,0.348983,17,0.425813,1.0,0.001712,0.90454,0.302337,0.0
0.837428,0.016005,0.90614,0.0,0.0,2.124985,0.332116,18,0.431523,1.0,0.001822,0.90614,0.292085,0.0
0.833766,0.016647,0.902984,0.0,0.0,2.082752,0.371355,19,0.444045,1.0,0.001957,0.902984,0.28174,0.0
0.829226,0.016114,0.901367,0.0,0.0,2.195289,0.367558,20,0.448737,1.0,0.001841,0.901367,0.273412,0.0
0.831553,0.017164,0.903539,0.0,0.0,2.107257,0.4081,21,0.449883,1.0,0.001939,0.903539,0.265504,0.0
0.831286,0.017496,0.901954,0.0,0.0,2.085045,0.400432,22,0.478314,1.0,0.001972,0.901954,0.25554,0.0
0.833232,0.018562,0.906505,0.0,0.0,2.230458,0.530984,23,0.48154,1.0,0.002304,0.906505,0.249911,0.0
0.833727,0.018223,0.902564,0.0,0.0,2.164754,0.495376,24,0.521889,1.0,0.001947,0.902564,0.243364,0.0
0.831019,0.018725,0.901913,0.0,0.0,2.120803,0.440998,25,0.529238,1.0,0.002148,0.901913,0.241152,0.0
0.825793,0.017841,0.901534,0.0,0.0,2.21228,0.493327,26,0.546989,1.0,0.00213,0.901534,0.22891,0.0
0.825565,0.01863,0.900391,0.0,0.0,2.142341,0.523328,27,0.555355,1.0,0.002049,0.900391,0.225553,0.0
0.83121,0.019159,0.904567,0.0,0.0,2.128513,0.479944,28,0.57206,1.0,0.002338,0.904567,0.218113,0.0
0.829226,0.019308,0.902278,0.0,0.0,2.13147,0.564382,29,0.554868,1.0,0.002344,0.902278,0.211918,0.0
0.828883,0.018892,0.903414,0.0,0.0,2.051134,0.452945,30,0.594637,1.0,0.002309,0.903414,0.205227,0.0
