epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,10.016875,1.0,10.016875,0.276219,2.287279,2.287279,3.672496,0.0
2,10.022694,1.0,10.022694,0.596785,2.275236,2.275236,3.538908,0.0
3,9.900965,1.0,9.900965,0.407926,2.266466,2.266466,3.514967,0.0
4,9.66477,1.0,9.66477,0.247833,2.261474,2.261474,3.481303,0.0
5,9.492481,1.0,9.492481,0.477638,2.258943,2.258943,3.46321,0.0
6,9.716464,1.0,9.716464,0.358623,2.26361,2.26361,3.448364,0.0
7,9.735678,1.0,9.735678,0.319205,2.267584,2.267584,3.434418,0.0
8,9.614757,1.0,9.614757,0.382007,2.269492,2.269492,3.420556,0.0
9,9.576188,1.0,9.576188,0.28746,2.267623,2.267623,3.407789,0.0
10,9.582046,1.0,9.582046,0.243656,2.251913,2.251913,3.393997,0.0
