domain,dataset,model,example_id,source_row,label,k,full_utility,empty_selected_utility,oracle_utility,oracle_headroom,full_primary,oracle_primary,oracle_subset,attention_shapley_spearman,top_attention_harmful,harmful_item_fraction,sign_reversal_fraction,mean_marginal_spread,mean_abs_pair_interaction,max_abs_pair_interaction,mean_abs_loo_shapley_gap,attention,loo,shapley
stpp,earthquake,DeepSTPP,7,8004,,5,-5.0277509689331055,-4.992262363433838,-4.992262363433838,0.03548860549926758,5.0277509689331055,4.992262363433838,0,-0.9999999999999999,1.0,1.0,0.0,8.869171142578126e-06,2.193450927734375e-06,2.86102294921875e-06,4.1961669921875e-06,"[0.029150301590561867, 0.02651556022465229, 0.02615269273519516, 0.02458830177783966, 0.02452409639954567]","[-0.007922172546386719, -0.007327556610107422, -0.007297992706298828, -0.006493568420410156, -0.006468296051025391]","[-0.007917849222819011, -0.007323273022969563, -0.00729370911916097, -0.006489523251851401, -0.006464250882466633]"
stpp,earthquake,DeepSTPP,8,8005,,5,-3.753241539001465,-3.7783701419830322,-3.753241539001465,0.0,3.753241539001465,3.753241539001465,31,0.39999999999999997,0.0,0.0,0.0,3.600120544433594e-05,9.065866470336914e-06,1.52587890625e-05,1.845359802246085e-05,"[0.0322837270796299, 0.02894045226275921, 0.028033973649144173, 0.02725072205066681, 0.02561461739242077]","[0.006590604782104492, 0.0018355846405029297, 0.005896568298339844, 0.0058214664459228516, 0.00507664680480957]","[0.006571634610493978, 0.0018105745315551759, 0.0058801611264546715, 0.005805297692616781, 0.005060935020446777]"
stpp,earthquake,DeepSTPP,9,8006,,5,-4.4632248878479,-4.427586078643799,-4.427586078643799,0.03563880920410156,4.4632248878479,4.427586078643799,0,-0.9999999999999999,1.0,1.0,0.0,1.0776519775390626e-05,2.6464462280273437e-06,3.814697265625e-06,5.4359436035154515e-06,"[0.029594771564006805, 0.026877237483859062, 0.02648872509598732, 0.024882348254323006, 0.02481936290860176]","[-0.007968902587890625, -0.007363319396972656, -0.007328510284423828, -0.006515026092529297, -0.006490230560302734]","[-0.007963307698567708, -0.007357843716939291, -0.007322597503662109, -0.006509908040364584, -0.006485152244567871]"
stpp,earthquake,DeepSTPP,10,8007,,5,-2.514936685562134,-2.5416886806488037,-2.514936685562134,0.0,2.514936685562134,2.514936685562134,31,0.39999999999999997,0.0,0.0,0.0,3.9529800415039065e-05,9.84668731689453e-06,1.5735626220703125e-05,2.0027160644531077e-05,"[0.03268517181277275, 0.029122034087777138, 0.02832811325788498, 0.027517111971974373, 0.025820421054959297]","[0.00704193115234375, 0.0019752979278564453, 0.006272315979003906, 0.006185293197631836, 0.005377292633056641]","[0.007021296024322511, 0.0019484837849934895, 0.0062542835871378585, 0.006167717774709066, 0.005360213915506998]"
stpp,earthquake,DeepSTPP,11,8008,,5,-1.0419530868530273,-1.0655052661895752,-1.0419530868530273,0.0,1.0419530868530273,1.0419530868530273,31,0.9999999999999999,0.0,0.0,0.0,0.00011730194091796875,2.9340386390686035e-05,3.540515899658203e-05,5.917549133300764e-05,"[0.030075469985604286, 0.027356795966625214, 0.02696874551475048, 0.025235405191779137, 0.025175273418426514]","[0.005118012428283691, 0.004810452461242676, 0.004797577857971191, 0.004272341728210449, 0.004257917404174805]","[0.005183293422063191, 0.004871183633804321, 0.004857961336771648, 0.004327142238616943, 0.004312598705291748]"
stpp,earthquake,DeepSTPP,12,8009,,5,-0.6650002002716064,-0.627190351486206,-0.627190351486206,0.03780984878540039,0.6650002002716064,0.627190351486206,0,-0.9999999999999999,1.0,1.0,0.0,4.041194915771484e-06,1.0043382644653321e-06,1.6093254089355469e-06,1.9073486328123266e-06,"[0.030005106702446938, 0.02716575562953949, 0.026735302060842514, 0.02507442981004715, 0.02501416765153408]","[-0.008513092994689941, -0.00781393051147461, -0.007761895656585693, -0.006878316402435303, -0.006852149963378906]","[-0.008511291941006978, -0.0078119605779647825, -0.0077597022056579605, -0.00687651534875234, -0.00685037871201833]"
stpp,earthquake,DeepSTPP,13,8010,,5,-0.8515312671661377,-0.8888772130012512,-0.8515312671661377,0.0,0.8515312671661377,0.8515312671661377,31,0.9999999999999999,0.0,0.0,0.0,1.0251998901367188e-05,2.5540590286254884e-06,3.635883331298828e-06,5.245208740235242e-06,"[0.03009442239999771, 0.027109168469905853, 0.026635359972715378, 0.02495495043694973, 0.024896832183003426]","[0.008430719375610352, 0.007715106010437012, 0.007653295993804932, 0.006772816181182861, 0.006747782230377197]","[0.00843718449274699, 0.007720438639322916, 0.007658420006434124, 0.00677745838960012, 0.00675244430700938]"
stpp,earthquake,DeepSTPP,14,8011,,5,-0.1392139196395874,-0.17480555176734924,-0.1392139196395874,0.0,0.1392139196395874,0.1392139196395874,31,0.9999999999999999,0.0,0.0,0.0,0.0001555889844894409,3.8665160536766054e-05,5.7309865951538086e-05,8.31007957458503e-05,"[0.02989323064684868, 0.026994938030838966, 0.026535507291555405, 0.024855000898241997, 0.024798469617962837]","[0.007910266518592834, 0.007273837924003601, 0.007220163941383362, 0.006397411227226257, 0.006374448537826538]","[0.008004386971394222, 0.0073591368893782295, 0.007304443418979646, 0.00647345284620921, 0.006450212001800537]"
stpp,earthquake,DeepSTPP,15,8012,,5,-0.12198497354984283,-0.15680712461471558,-0.12198497354984283,0.0,0.12198497354984283,0.12198497354984283,31,0.9999999999999999,0.0,0.0,0.0,0.0002368837594985962,5.881637334823608e-05,8.797645568847656e-05,0.00012728869915008527,"[0.029947958886623383, 0.026999862864613533, 0.02652331441640854, 0.0248270183801651, 0.024771515280008316]","[0.007692679762840271, 0.007071539759635925, 0.007016196846961975, 0.006213709712028503, 0.00619158148765564]","[0.00783595268925031, 0.00720219761133194, 0.007145490000645319, 0.006330541769663492, 0.00630796899398168]"
stpp,earthquake,DeepSTPP,16,8013,,5,-0.5737260580062866,-0.5360733866691589,-0.5360733866691589,0.037652671337127686,0.5737260580062866,0.5360733866691589,0,-0.9999999999999999,1.0,1.0,0.0,1.239776611328125e-06,2.980232238769531e-07,7.748603820800781e-07,5.24520874023264e-07,"[0.03000863827764988, 0.027000490576028824, 0.026503661647439003, 0.024790070950984955, 0.024735871702432632]","[-0.008534073829650879, -0.007789969444274902, -0.00771862268447876, -0.006818830966949463, -0.006793797016143799]","[-0.008534058928489685, -0.0077893684307734174, -0.007717798153559366, -0.0068182597557703666, -0.006793186068534851]"
