accuracy,copy_gate_mean,epoch,eval_loss,gate_mean,mrr,primary_metric,tkg_copy_gate_mean_seen,tkg_copy_gate_mean_unseen,tkg_copy_saturation_attention,tkg_copy_saturation_warrant,tkg_false_copy_retention,tkg_false_top_copy_mass_attention,tkg_false_top_copy_mass_warrant,tkg_mrr_seen,tkg_mrr_unseen,tkg_true_copy_mass_attention,tkg_true_copy_mass_warrant,tkg_true_copy_retention,tkg_true_tail_seen_rate,train_loss,warrant_logit_mean
0.0,0.88159,1,15.081176,0.952097,0.000699,0.000699,0.882325,0.879304,3.24985,3.251397,1.000385,0.082499,0.082533,0.001135,0.000527,0.010433,0.010436,1.000088,0.283333,19.44455,2.9356
0.01375,0.983942,2,12.950022,0.96024,0.014646,0.014646,0.984117,0.983437,4.819733,4.830482,1.001267,0.109027,0.109166,0.031893,0.007827,0.012467,0.012475,0.999901,0.283333,14.468571,3.131743
0.014583,0.999011,3,11.607225,0.978497,0.017909,0.017909,0.999024,0.998971,10.13934,10.196545,1.001812,0.150846,0.151113,0.042763,0.008084,0.014765,0.014778,0.998961,0.283333,12.543991,3.777162
0.030417,0.999973,4,10.534103,0.99573,0.061618,0.061618,0.999974,0.999972,17.599316,17.675836,1.000632,0.173616,0.173724,0.199041,0.007288,0.015987,0.015991,0.999429,0.283333,11.050114,5.492584
0.043333,0.999989,5,10.291225,0.998537,0.074656,0.074656,0.99999,0.999989,6.977087,6.9859,1.000315,0.133539,0.133582,0.24367,0.007836,0.014127,0.014129,0.999897,0.283333,10.342672,6.600477
0.045417,0.999936,6,9.957652,0.998196,0.073111,0.073111,0.999939,0.999933,4.856365,4.860022,1.000401,0.107211,0.107255,0.235783,0.008799,0.012646,0.012648,0.999969,0.283333,9.895454,6.373682
0.047917,0.999917,7,9.771675,0.998244,0.076738,0.076738,0.999921,0.999913,4.989466,4.992898,1.000404,0.114137,0.114185,0.246463,0.009637,0.013974,0.013977,0.99999,0.283333,9.574865,6.432483
0.051667,0.999962,8,9.589922,0.998822,0.083327,0.083327,0.999963,0.99996,6.51312,6.516881,1.000316,0.13939,0.139433,0.267479,0.010523,0.016355,0.016357,0.999963,0.283333,9.283072,6.883052
0.0525,0.999961,9,9.481077,0.998949,0.085815,0.085815,0.999963,0.999959,7.121489,7.125859,1.000287,0.149879,0.149921,0.275417,0.010856,0.017232,0.017234,0.999955,0.283333,9.038622,7.034113
0.0525,0.999934,10,9.392366,0.998848,0.087716,0.087716,0.999937,0.999931,7.6129,7.618728,1.000316,0.155214,0.155263,0.280259,0.011595,0.017464,0.017466,0.999944,0.283333,8.858261,6.963555
