accuracy,epoch,eval_loss,gate_mean,mrr,primary_metric,train_loss,warrant_logit_mean,warrant_tail_mass_mean
0.066448,1,9.10385,1.0,0.101538,0.101538,13.494041,0.0,1.0
0.076747,2,8.345251,1.0,0.114703,0.114703,8.991733,0.0,1.0
0.082774,3,8.023651,1.0,0.122125,0.122125,8.375315,0.0,1.0
0.086131,4,7.808013,1.0,0.126392,0.126392,8.043907,0.0,1.0
0.085139,5,7.621862,1.0,0.12859,0.12859,7.786605,0.0,1.0
0.087656,6,7.477323,1.0,0.131317,0.131317,7.581332,0.0,1.0
0.088419,7,7.348136,1.0,0.132653,0.132653,7.401933,0.0,1.0
0.086359,8,7.219253,1.0,0.132929,0.132929,7.230744,0.0,1.0
0.08697,9,7.101623,1.0,0.134585,0.134585,7.064419,0.0,1.0
0.087504,10,6.97923,1.0,0.135705,0.135705,6.896074,0.0,1.0
0.086436,11,6.860508,1.0,0.135857,0.135857,6.734236,0.0,1.0
0.088801,12,6.757345,1.0,0.138033,0.138033,6.576048,0.0,1.0
0.085063,13,6.6538,1.0,0.13706,0.13706,6.428201,0.0,1.0
0.08758,14,6.575248,1.0,0.138933,0.138933,6.296421,0.0,1.0
0.086588,15,6.505154,1.0,0.1391,0.1391,6.167703,0.0,1.0
0.084986,16,6.457421,1.0,0.138901,0.138901,6.060928,0.0,1.0
0.083308,17,6.398583,1.0,0.139314,0.139314,5.973619,0.0,1.0
0.086512,18,6.363489,1.0,0.1404,0.1404,5.877762,0.0,1.0
0.08491,19,6.328872,1.0,0.140463,0.140463,5.794497,0.0,1.0
0.086436,20,6.308385,1.0,0.141091,0.141091,5.730637,0.0,1.0
0.08552,21,6.290504,1.0,0.140629,0.140629,5.656421,0.0,1.0
0.085139,22,6.283792,1.0,0.14091,0.14091,5.598298,0.0,1.0
0.086741,23,6.264573,1.0,0.142431,0.142431,5.538544,0.0,1.0
0.087275,24,6.263933,1.0,0.141714,0.141714,5.495628,0.0,1.0
0.089182,25,6.261005,1.0,0.142046,0.142046,5.442977,0.0,1.0
0.087351,26,6.249377,1.0,0.144173,0.144173,5.403335,0.0,1.0
0.086359,27,6.269902,1.0,0.142297,0.142297,5.35318,0.0,1.0
0.084605,28,6.254672,1.0,0.142313,0.142313,5.312711,0.0,1.0
0.084605,29,6.27651,1.0,0.141287,0.141287,5.275484,0.0,1.0
0.089716,30,6.261863,1.0,0.143367,0.143367,5.238172,0.0,1.0
