accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.5335,0.563871,1,0.753841,0.84597,0.563871,0.778676,2.588347
0.56725,0.591799,2,0.719814,0.855193,0.591799,0.720084,2.80954
0.58325,0.623436,3,0.690804,0.871459,0.623436,0.685096,3.395581
0.59675,0.645068,4,0.673605,0.882819,0.645068,0.665924,4.280171
0.61525,0.658642,5,0.657099,0.885362,0.658642,0.644536,4.708242
0.625,0.685692,6,0.636472,0.887562,0.685692,0.621788,5.402255
0.654,0.71716,7,0.614668,0.888871,0.71716,0.599241,6.586335
0.6755,0.739191,8,0.596859,0.889369,0.739191,0.576599,7.997237
0.685,0.752355,9,0.584107,0.889252,0.752355,0.556414,8.067517
0.693,0.771677,10,0.573102,0.889601,0.771677,0.528786,9.806982
