accuracy,epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,stpp_revisit_rate,stpp_rmse_long_move,stpp_rmse_new_place,stpp_rmse_revisit,stpp_rmse_short_move,train_loss,warrant_logit_mean
0.0,1,13.101499,0.172141,13.101499,1.084878,0.024984,0.024984,0.052961,0.036857,0.025516,0.015476,0.013111,13.011552,0.0
0.0,2,13.114835,0.172141,13.114835,0.963699,0.026049,0.026049,0.052961,0.037587,0.026543,0.01723,0.014512,12.600308,0.0
0.0,3,13.343384,0.172141,13.343384,0.703515,0.0264,0.0264,0.052961,0.037385,0.02693,0.016911,0.015415,12.17188,0.0
0.000569,4,13.47188,0.172141,13.47188,0.744804,0.034939,0.034939,0.052961,0.045893,0.035345,0.027662,0.023984,11.757254,0.0
0.001139,5,14.116945,0.172141,14.116945,0.693926,0.02886,0.02886,0.052961,0.040382,0.029371,0.019719,0.017338,11.293588,0.0
0.001139,6,14.877504,0.172141,14.877504,0.748182,0.032595,0.032595,0.052961,0.04339,0.033179,0.022152,0.021801,10.722503,0.0
0.000569,7,15.760103,0.172141,15.760103,0.728645,0.030975,0.030975,0.052961,0.041308,0.031703,0.017948,0.020641,10.089077,0.0
0.000569,8,16.974972,0.172141,16.974972,0.667089,0.033414,0.033414,0.052961,0.044331,0.033809,0.026351,0.022496,9.290622,0.0
0.0,9,17.828526,0.172141,17.828526,0.703302,0.041906,0.041906,0.052961,0.053451,0.042262,0.035541,0.030361,8.437151,0.0
0.0,10,20.076284,0.172141,20.076284,0.669368,0.08001,0.08001,0.052961,0.088101,0.080044,0.079405,0.071919,7.478969,0.0
