domain,dataset,model,variant,metric_name,seeds,primary_metric_mean,primary_metric_std,evidence_present_rate_mean,evidence_present_rate_std,evidence_attention_mass_mean,evidence_attention_mass_std,evidence_warrant_mass_mean,evidence_warrant_mass_std,non_evidence_warrant_mass_mean,non_evidence_warrant_mass_std,counterfactual_zero_evidence_metric_mean,counterfactual_zero_evidence_metric_std,counterfactual_zero_non_evidence_metric_mean,counterfactual_zero_non_evidence_metric_std,metric_drop_zero_evidence_mean,metric_drop_zero_evidence_std,metric_drop_zero_non_evidence_mean,metric_drop_zero_non_evidence_std
ctdg,lastfm,DyGFormer,base,auc,3,0.7892246666666667,0.00100215983422473,0.40532833333333335,0.005535992624031689,0.0,0.0,0.0,0.0,0.0,0.0,0.7892246666666667,0.00100215983422473,0.7892246666666667,0.00100215983422473,0.0,0.0,0.0,0.0
ctdg,lastfm,DyGFormer,warrant,auc,3,0.8915583333333333,0.00726411827638657,0.40532833333333335,0.005535992624031689,0.6086353333333333,0.02337580656005974,0.6086333333333334,0.023375458954496144,1.379055,0.02364647400776699,0.8340893333333333,0.014106914841074718,0.871263,0.006890258630849796,0.057469,0.006848984523270587,0.020295666666666667,0.0012435354169999875
rag,hotpotqa,FiD,base,support_mrr,3,0.551102,0.010205356289713734,1.0,0.0,0.25707966666666665,0.001682762708563914,0.25707966666666665,0.001682762708563914,0.7429203333333333,0.0016827627085638697,0.5546916666666667,0.009942370207014677,0.548179,0.009971019556695323,-0.0035896666666666664,0.001876090171962247,0.0029226666666666667,0.0006333706129379018
rag,hotpotqa,FiD,warrant,support_mrr,3,0.5527143333333333,0.01129975032172541,1.0,0.0,0.257425,0.0013479599400575712,0.241861,0.0008344033796671837,0.6960343333333333,0.008193015826503301,0.5496956666666667,0.009878852025075264,0.5560953333333334,0.01200711144835983,0.003018333333333333,0.001450200101135472,-0.0033813333333333334,0.0007553809193601155
tkg,gdelt,xERTE,base,mrr,3,0.08085433333333333,0.004722034130894576,0.344722,0.0,0.011257,0.001907311458571986,0.011257,0.001907311458571986,0.988743,0.0019073114585719728,0.08085433333333333,0.004722034130894576,0.08085433333333333,0.004722034130894576,0.0,0.0,0.0,0.0
tkg,gdelt,xERTE,warrant,mrr,3,0.117285,0.0022026844985153908,0.344722,0.0,0.084861,0.0013853227060869244,0.08154166666666667,0.0029047991898465773,0.8787366666666667,0.03083330748287203,0.0010606666666666666,3.0171730698342974e-05,0.3418326666666667,0.0008031172600145691,0.11622466666666667,0.0021967285524919435,-0.22454733333333332,0.002706758270206865
