accuracy,auc,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.544324,0.581943,1,0.717763,0.91428,0.581943,0.750688,3.624357
0.586131,0.621153,2,0.684245,0.931564,0.621153,0.680393,7.226195
0.619011,0.663522,3,0.653146,0.932048,0.663522,0.636274,10.917976
0.641059,0.697403,4,0.633448,0.932052,0.697403,0.605808,12.131325
0.673253,0.732525,5,0.612166,0.932042,0.732525,0.57282,11.700822
0.677983,0.745321,6,0.606111,0.931959,0.745321,0.548513,10.988482
0.695758,0.770489,7,0.582236,0.932033,0.770489,0.518026,12.593753
0.706134,0.7791,8,0.591076,0.931755,0.7791,0.487598,10.848206
0.725511,0.799111,9,0.568545,0.931141,0.799111,0.463892,11.247564
0.718035,0.790366,10,0.592807,0.931819,0.790366,0.442596,12.660502
