epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,11.642213,0.938784,11.642213,0.270211,3.356787,3.356787,3.67497,2.863896
2,11.61393,0.93876,11.61393,0.612872,3.327919,3.327919,3.534268,2.863381
3,11.366009,0.938946,11.366009,0.341611,3.27195,3.27195,3.510789,2.867357
4,10.898031,0.938336,10.898031,0.29553,3.156347,3.156347,3.476991,2.85471
5,10.844934,0.938719,10.844934,0.502996,3.123938,3.123938,3.461559,2.864259
6,11.084727,0.939006,11.084727,0.29751,3.172438,3.172438,3.445558,2.87114
7,11.021971,0.93998,11.021971,0.341449,3.139418,3.139418,3.431993,2.892834
8,10.745996,0.941199,10.745996,0.324853,3.057616,3.057616,3.418692,2.920195
9,10.754334,0.941992,10.754334,0.240936,3.052343,3.052343,3.405864,2.937849
10,10.786755,0.942834,10.786755,0.24515,3.048038,3.048038,3.392405,2.957139
