variant,display_name,seeds,mrr_mean,mrr_std,delta_mrr_vs_base_mean,delta_mrr_vs_base_std,full_minus_variant_mrr_mean,full_minus_variant_mrr_std,accuracy_mean,accuracy_std,eval_loss_mean,eval_loss_std,gate_mean,gate_std,warrant_tail_mass_mean,warrant_tail_mass_std
base,Base,3,0.12774666666666668,0.002188133984319359,0.0,0.0,0.015104666666666664,0.0022701392761972417,0.07954433333333333,0.002799316047418251,6.457494666666666,0.020455288713027795,1.0,0.0,0.0,0.0
attention_copy_control,Attention-copy control,3,0.142567,0.000797016938339448,0.014820333333333333,0.0023858169111089234,0.0002843333333333309,0.00014403240376156893,0.08796166666666667,0.001576148575906895,6.265241666666666,0.03010552956407396,1.0,0.0,1.0,0.0
logit_gate,Logit gate,3,0.142511,0.0007725729738995445,0.014764333333333332,0.0025223777142476715,0.0003403333333333314,0.00031497989353820204,0.08824133333333334,0.0017599276500280688,6.267956666666667,0.028435440427982257,1.0,0.0,1.0,0.0
key_only_gate,Key-only gate,3,0.14261433333333334,0.0005442649477353276,0.014867666666666677,0.002178760274406827,0.00023699999999998722,0.0002957312969572243,0.087936,0.0012632968772224552,6.246451333333333,0.02876285730474881,0.7276486666666666,0.043918468784024486,1.0,0.0
query_only_gate,Query-only gate,3,0.14281266666666667,0.0003998003668499298,0.015065999999999996,0.001961091787754962,3.866666666666833e-05,0.0005523643121467425,0.08752933333333333,0.00046633178460548166,6.243994666666667,0.02763769435631951,0.9277476666666667,0.022910909068243748,1.0,0.0
shuffled_gate,Shuffled gate,3,0.137074,0.004298491014297922,0.009327333333333335,0.006131928761273509,0.005777333333333329,0.004932422562325064,0.07929,0.006000674045471893,6.309862666666667,0.012696652800377522,0.6682576666666666,0.07626285565288865,1.0,0.0
full_value_gate,Full value gate,3,0.14285133333333333,0.0008380556862961715,0.015104666666666664,0.0022701392761972417,0.0,0.0,0.08826666666666667,0.0016732391739776294,6.248554666666667,0.027099807699194844,0.668187,0.07673978774403795,1.0,0.0
