epoch,eval_loss,gate_mean,joint_nll,mae_time,primary_metric,rmse_location,train_loss,warrant_logit_mean
1,4.200337,0.998291,4.200337,0.412908,0.878328,0.878328,4.563291,2.937135
2,4.381894,0.998291,4.381894,0.373763,1.229131,1.229131,4.312456,2.928219
3,4.157561,0.998291,4.157561,0.355868,1.031272,1.031272,4.266756,2.952134
4,4.09126,0.998291,4.09126,0.330101,0.935401,0.935401,4.201111,2.936187
5,4.076874,0.998291,4.076874,0.330857,1.00804,1.00804,4.154252,2.716762
6,4.205623,0.998291,4.205623,0.347474,1.171253,1.171253,4.140341,2.629268
7,4.167583,0.998291,4.167583,0.365738,1.066664,1.066664,4.111172,2.719514
8,4.051236,0.998291,4.051236,0.344883,1.048934,1.048934,4.057511,2.515897
9,4.048724,0.998291,4.048724,0.355536,1.045293,1.045293,4.037772,2.460003
10,3.950401,0.998291,3.950401,0.342142,0.983716,0.983716,4.030374,2.488929
11,3.943625,0.998291,3.943625,0.335431,1.000314,1.000314,3.994811,1.852359
12,3.962147,0.998291,3.962147,0.331632,1.045014,1.045014,3.958965,2.041613
13,4.103226,0.998291,4.103226,0.375177,1.179109,1.179109,3.930717,2.356719
14,3.943042,0.998291,3.943042,0.343085,1.037532,1.037532,3.919902,2.473263
15,3.984767,0.998291,3.984767,0.319588,1.134673,1.134673,3.885552,2.385262
16,3.807442,0.998291,3.807442,0.302856,1.009824,1.009824,3.863838,1.90528
17,3.780811,0.998291,3.780811,0.309614,0.98237,0.98237,3.836766,1.699656
18,3.923516,0.998291,3.923516,0.335439,1.121987,1.121987,3.808692,1.514473
19,3.955981,0.998291,3.955981,0.328831,1.168228,1.168228,3.79326,1.198808
20,3.760318,0.998291,3.760318,0.332553,1.045775,1.045775,3.762733,0.888882
21,3.807698,0.998291,3.807698,0.327467,1.099784,1.099784,3.739639,0.909223
22,3.697991,0.998291,3.697991,0.333333,1.019308,1.019308,3.713111,1.823469
23,3.854707,0.998291,3.854707,0.345927,1.164264,1.164264,3.690294,1.320905
24,3.729315,0.998291,3.729315,0.328617,1.062971,1.062971,3.668033,1.752508
25,3.800545,0.998291,3.800545,0.327034,1.111836,1.111836,3.648208,0.561944
26,3.824968,0.998291,3.824968,0.331967,1.17606,1.17606,3.621645,2.458766
27,3.552706,0.998291,3.552706,0.320497,0.941634,0.941634,3.604702,-3.140858
28,3.677436,0.998291,3.677436,0.333738,1.072942,1.072942,3.569528,-2.0125
29,3.709789,0.998291,3.709789,0.330822,1.131266,1.131266,3.556705,2.622843
30,3.757534,0.998291,3.757534,0.334172,1.155143,1.155143,3.5346,0.6815
