accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.58325,0.609995,2.945496,0.954123,1,0.716832,0.847222,0.609995,0.759169,2.615602
0.59925,0.630795,2.932245,0.964299,2,0.696835,0.854743,0.630795,0.705565,2.797498
0.61325,0.65551,2.83355,0.977795,3,0.675736,0.8655,0.65551,0.673977,3.137433
0.61975,0.679974,2.573561,0.990013,4,0.645785,0.876762,0.679974,0.636968,3.712585
0.6655,0.724726,2.216251,0.997003,5,0.611677,0.886166,0.724726,0.601797,4.908636
0.69425,0.763755,2.009981,0.999271,6,0.574211,0.888503,0.763755,0.57223,6.006732
0.71375,0.791179,1.846973,0.999801,7,0.548586,0.889323,0.791179,0.540982,7.370603
0.73525,0.813302,2.019491,0.999927,8,0.524533,0.889383,0.813302,0.518559,8.018066
0.7535,0.837554,2.268112,0.999965,9,0.496132,0.889479,0.837554,0.490428,9.009868
0.77525,0.852954,2.189833,0.999981,10,0.478012,0.889616,0.852954,0.469922,10.09535
