accuracy,auc,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
0.537229,0.573431,3.476417,0.972056,1,0.727508,0.914113,0.573431,0.74545,3.615386
0.580867,0.618775,2.870787,0.99656,2,0.680673,0.931119,0.618775,0.678573,6.408097
0.62397,0.682925,2.226003,0.999956,3,0.636609,0.93203,0.682925,0.622682,9.915246
0.53433,0.589869,1.710454,0.999996,4,0.879203,0.932056,0.589869,0.534436,12.083334
0.55119,0.600389,2.045215,0.999997,5,0.894558,0.932058,0.600389,0.492881,12.798007
0.550122,0.604809,2.348327,0.999997,6,0.899649,0.932055,0.604809,0.47646,11.976397
0.549283,0.613566,2.542179,0.999997,7,0.851592,0.93205,0.613566,0.464873,11.706513
0.566219,0.627654,2.228333,0.999997,8,0.871906,0.932053,0.627654,0.454306,12.060043
0.586588,0.629622,2.181274,0.999997,9,0.898396,0.931916,0.629622,0.440121,10.309028
0.576823,0.636367,2.202578,0.999997,10,0.869645,0.931999,0.636367,0.432241,10.711025
