accuracy,auc,edge_attention_grad_norm,edge_gate_grad_norm,edge_warrant_attention_entropy,edge_warrant_gate_mean,epoch,eval_loss,gate_mean,primary_metric,train_loss,warrant_logit_mean
,,0.0,0.0,2.964432,1.0,1,,0.768226,,0.700266,3.672704
,,0.0,0.0,1.590464,1.0,2,,0.78704,,0.534534,9.6453
,,0.0,0.0,1.853451,1.0,3,,0.787115,,0.457054,11.093167
,,0.0,0.0,2.221552,1.0,4,,0.786686,,0.445649,10.299545
,,0.0,0.0,2.259921,1.0,5,,0.786738,,0.433406,10.050169
,,0.0,0.0,2.311338,1.0,6,,0.786816,,0.423815,9.803289
,,0.0,0.0,2.249543,1.0,7,,0.78519,,0.416356,9.183658
,,0.0,0.0,2.206761,1.0,8,,0.786491,,0.403216,9.721735
,,0.0,0.0,2.174783,1.0,9,,0.785053,,0.393156,9.934058
,,0.0,0.0,2.170454,1.0,10,,0.786747,,0.383687,10.132493
,,0.0,0.0,2.117606,1.0,11,,0.786858,,0.365652,10.186639
,,0.0,0.0,2.170062,1.0,12,,0.786745,,0.358918,10.177831
,,0.0,0.0,2.135572,1.0,13,,0.786617,,0.34653,9.955138
,,0.0,0.0,2.066707,1.0,14,,0.786526,,0.338302,9.558678
,,0.0,0.0,2.071095,1.0,15,,0.785894,,0.326448,9.233434
,,0.0,0.0,2.098392,1.0,16,,0.786261,,0.317164,9.223764
,,0.0,0.0,2.064277,1.0,17,,0.786046,,0.306084,8.742174
,,0.0,0.0,2.069517,1.0,18,,0.786651,,0.298206,8.627748
,,0.0,0.0,2.092867,1.0,19,,0.786652,,0.290974,8.550479
,,0.0,0.0,2.121378,1.0,20,,0.786781,,0.280938,8.612248
,,0.0,0.0,2.094491,1.0,21,,0.786376,,0.274804,8.555603
,,0.0,0.0,2.086459,1.0,22,,0.786638,,0.268374,8.835186
,,0.0,0.0,2.0545,1.0,23,,0.786707,,0.260013,8.644485
,,0.0,0.0,2.074763,1.0,24,,0.78621,,0.249688,8.544391
,,0.0,0.0,2.12869,1.0,25,,0.786786,,0.243337,8.770883
,,0.0,0.0,2.113685,1.0,26,,0.786572,,0.236815,8.711139
,,0.0,0.0,2.103745,1.0,27,,0.786843,,0.233642,8.637552
,,0.0,0.0,2.08876,1.0,28,,0.786267,,0.224637,8.554115
,,0.0,0.0,2.092306,1.0,29,,0.785497,,0.221692,8.449117
0.826747,0.900988,0.0,0.0,2.651286,1.0,30,0.602547,0.947025,0.900988,0.217512,12.251404
